season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Courtland Sutton,00-0034348,DEN,KC,anytime_td,0.5,0.32786885245901637,0.34364444452915976,0.015775592070143396,,,,,
2026,1,RJ Harvey,00-0040730,DEN,KC,anytime_td,0.5,0.29850746268656714,0.4682484698694292,0.16974100718286206,,,,,
2026,1,Tyquan Thornton,00-0038104,KC,DEN,anytime_td,0.5,0.2857142857142857,0.23869961330312625,-0.04701467241115945,,,,,
2026,1,Evan Engram,00-0033881,DEN,KC,anytime_td,0.5,0.20408163265306123,0.05404053109323452,-0.1500411015598267,,,,,
2026,1,Bo Nix,00-0039732,DEN,KC,anytime_td,0.5,0.2,0.25481118298651945,0.054811182986519436,,,,,
2026,1,Troy Franklin,00-0039868,DEN,KC,anytime_td,0.5,0.18181818181818182,0.29738147733700454,0.11556329551882272,,,,,
2026,1,Brashard Smith,00-0040078,KC,DEN,anytime_td,0.5,0.17391304347826086,0.07995558537067675,-0.09395745810758412,,,,,
2026,1,Pat Bryant,00-0040134,DEN,KC,anytime_td,0.5,0.17391304347826086,0.06893722029597721,-0.10497582318228366,,,,,
2026,1,Marvin Mims Jr.,00-0038976,DEN,KC,anytime_td,0.5,0.16666666666666666,0.20148378124062302,0.034817114573956365,,,,,
2026,1,Noah Gray,00-0036637,KC,DEN,anytime_td,0.5,0.14285714285714285,0.0,-0.14285714285714285,,,,,
