season,week,away_team,home_team,predicted_winner,home_win_prob,vegas_spread,model_spread,edge,actual_away_score,actual_home_score,actual_winner,correct,model_beat_market
2026,1,NE,SEA,SEA,0.6114095698912428,3.5,3.257176771329627,-0.24282322867037287,,,,,
2026,1,SF,LA,LA,0.5964037850491883,3.5,2.8347931721248276,-0.6652068278751724,,,,,
2026,1,CHI,CAR,CHI,0.4130109324400445,-2.5,-2.327358222742168,0.17264177725783192,,,,,
2026,1,TB,CIN,CIN,0.6784502792443613,3.5,5.144242086997325,1.644242086997325,,,,,
2026,1,NO,DET,DET,0.7336431123309497,7.0,6.697812775555269,-0.30218722444473123,,,,,
2026,1,BUF,HOU,BUF,0.3846059360217692,-1.5,-3.1269035146969166,-1.6269035146969166,,,,,
2026,1,BAL,IND,BAL,0.36580171235611403,-3.5,-3.6562057641795267,-0.1562057641795267,,,,,
2026,1,CLE,JAX,JAX,0.7584767103478836,7.5,7.396830162649939,-0.10316983735006069,,,,,
2026,1,ATL,PIT,PIT,0.6907183213615269,3.0,5.489563563960138,2.4895635639601377,,,,,
2026,1,NYJ,TEN,TEN,0.6171498878546586,3.0,3.418755534952334,0.418755534952334,,,,,
2026,1,ARI,LAC,LAC,0.878319279811905,11.5,10.77016493726971,-0.7298350627302899,,,,,
2026,1,MIA,LV,LV,0.6272402837693627,3.5,3.702780515232581,0.20278051523258078,,,,,
2026,1,GB,MIN,GB,0.37648655887274673,-1.5,-3.3554481579530275,-1.8554481579530275,,,,,
2026,1,WAS,PHI,PHI,0.5694667949453172,4.5,2.076569396989088,-2.423430603010912,,,,,
2026,1,DAL,NYG,DAL,0.35525344955632626,-2.5,-3.9531188049587023,-1.4531188049587023,,,,,
2026,1,DEN,KC,KC,0.6426817228616375,3.0,4.137426932554112,1.1374269325541118,,,,,
